Number|Description|Qty|Estimate Amount|Taxes|Replacement Cost Total|Age / Cond. / Life|Less Depreciation|Actual Cash Value|Paid|Estimated Remaining|Page Number
2466|Freestyle, Polo shirt|1.00 EA|$40.00|$1.75|$41.75|3.5y/ Avg. /8y|-$18.27|$23.48|$0.00|$18.27|114
2467|Liz Claiborne, Long sleeve blouse|1.00 EA|$40.00|$1.75|$41.75|3.5y/ Avg. /8y|-$18.27|$23.48|$0.00|$18.27|114
2468|Liz Claiborne, Women's long sleeve blouse|||||||DUPLICATE|$0.00|$0.00|114
2469|Liz Claiborne, Crew neck long sleeve blouse|1.00 EA|$40.00|$1.75|$41.75|3 y/ Avg. /8 y|-$15.66|$26.09|$0.00|$15.66|114
2470|Liz Claiborne, Round neck printed blouse|1.00 EA|$40.00|$1.75|$41.75|3 y/ Avg. /8 y|-$15.66|$26.09|$0.00|$15.66|114
2471|Liz Claiborne, Women's v neck blouse|1.00 EA|$40.00|$1.75|$41.75|4.5y/ Avg. /8y|-$23.48|$18.27|$0.00|$23.48|114
2472|Liz Claiborne, Women's long sleeve blouse|1.00 EA|$40.00|$1.75|$41.75|4y/Avg./8y|-$20.88|$20.87|$0.00|$20.88|114
2473|Allegra K, Women's polka dots casual blouse|1.00 EA|$39.99|$1.75|$41.74|1y/Avg./8y|-$5.22|$36.52|$0.00|$5.22|114
2474|Charter club, Women's puffer vest|1.00 EA|$39.99|$1.75|$41.74|2.5y/ Avg. /8y|-$13.05|$28.69|$0.00|$13.05|114
2475|Collections Etc, Cable-knit button front cardigan|1.00 EA|$39.99|$1.75|$41.74|2.75y/ Avg. /8 y|-$14.35|$27.39|$0.00|$14.35|114
2476|Men's Wearhouse, Garment bag|1.00 EA|$39.99|$3.35|$43.34|3.5 y/ Avg. /20 y|-$7.59|$35.75|$0.00|$7.59|114
2477|Nine West, Women's bootcut pant|1.00 EA|$39.99|$1.75|$41.74|3 y/ Avg. /8 y|-$15.66|$26.08|$0.00|$15.66|114
2478|Croft & Barrow, Full zip sweater|1.00 EA|$39.99|$1.75|$41.74|3 y/ Avg. /8 y|-$15.66|$26.08|$0.00|$15.66|114
2479|Croft & Barrow, Pull over sweater|1.00 EA|$39.99|$1.75|$41.74|3.25y/Avg./8y|-$16.96|$24.78|$0.00|$16.96|114
2480|Croft & Barrow, Women's soft cabled crew neck sweater|1.00 EA|$39.99|$1.75|$41.74|3.5y/ Avg. /8y|-$18.27|$23.47|$0.00|$18.27|114
2481|Bodipedic, back support pillow|1.00 EA|$39.99|$3.35|$43.34|4.5 y/ Avg. /10 y|-$19.51|$23.83|$0.00|$19.51|114
2482|Zcyifa, Leather file bag|1.00 EA|$39.99|$3.35|$43.34|4y/Avg./20y|-$8.67|$34.67|$0.00|$8.67|114
2483|Land's End, Women's v-neck long sleeve blouse|1.00 EA|$39.95|$1.75|$41.70|0.5y/Avg./8y|-$2.61|$39.09|$0.00|$2.61|1
2484|Dressbarn, Women's button down shirt|||||||DUPLICATE|$0.00|$0.00|1
2485|Dressbarn, Women's button down shirt|1.00 EA|$39.95|$1.75|$41.70|0.25y/ Avg. /8 y|-$1.30|$40.40|$0.00|$1.30|1
2486|Dressbarn, Women's button down shirt|||||||DUPLICATE|$0.00|$0.00|1
2487|Style & Co, Crew neck long sleeve sweater|1.00 EA|$39.50|$1.73|$41.23|1.5 y/ Avg. /8 y|-$7.73|$33.50|$0.00|$7.73|1
2488|Style & Co, Women's crewneck long sleeve top|1.00 EA|$39.50|$1.73|$41.23|1.75 y/ Avg. /8 y|-$9.02|$32.21|$0.00|$9.02|1
2489|Alfred Dunner, Classics pull-on pants|1.00 EA|$39.50|$1.73|$41.23|2y/Avg./8y|-$10.31|$30.92|$0.00|$10.31|1
2490|Alfred Dunner, Women's pants|1.00 EA|$39.50|$1.73|$41.23|2.5y/ Avg. /8y|-$12.88|$28.35|$0.00|$12.88|1
2491|Style & Co, Women's zip-front fleece vest|1.00 EA|$39.50|$1.73|$41.23|2.75y/ Avg. /8 y|-$14.17|$27.06|$0.00|$14.17|1
2492|2,492 Alfred Dunner, Classic pull-on pants|1.00 EA|$39.50|$1.73|$41.23|2.75y/Avg./8y|-$14.17|$27.06|$0.00|$14.17|1
2493|Style & Co, Women's sleeveless tank|1.00 EA|$39.50|$1.73|$41.23|3.25y/ Avg. /8 y|-$16.75|$24.48|$0.00|$16.75|1
2494|Madewell, Pouch bag|1.00 EA|$39.00|$3.27|$42.27|0.5y/ Avg. /4y|-$5.29|$36.98|$0.00|$5.29|1
2495|Eyebuy Direct, Reading glasses|1.00 EA|$39.00|$3.27|$42.27|1.5 y/ Avg. /10 y|-$6.34|$35.93|$0.00|$6.34|1
2496|Jones New York, Scalloped lace 1.00 shrug||$0.00|$0.00|$0.00|1.5 y/ Avg. /0 y|-$0.00|$0.00|$0.00|$0.00|1
2497|R&M Richards, Cardigan|1.00 EA|$39.00|$1.71|$40.71|3.5y/ Avg. /8y|-$17.81|$22.90|$0.00|$17.81|1
2498|Gloria Vanderbilt, Women's button down shirt|1.00 EA|$39.00|$1.71|$40.71|3 y/ Avg. /8 y|-$15.27|$25.44|$0.00|$15.27|1
2499|Hippie Rose, Cable-knit zip-up sweater|1.00 EA|$39.00|$1.71|$40.71|4.5y/ Avg. /8y|-$22.90|$17.81|$0.00|$22.90|1
2500|Inspire Chic, Women's printed blouse|1.00 EA|$38.99|$1.71|$40.70|1.5 y/ Avg. /8 y|-$7.63|$33.07|$0.00|$7.63|1
2501|Charter club, Women's print top|1.00 EA|$38.99|$1.71|$40.70|4y/Avg./8y|-$20.36|$20.34|$0.00|$20.36|1
2502|International Concepts, Leather belt|1.00 EA|$38.50|$1.68|$40.18|2y/Avg./8y|-$10.05|$30.13|$0.00|$10.05|1
2503|John's Bay, Cable knit sweater|1.00 EA|$38.00|$1.66|$39.66|1.75 y/ Avg. /8 y|-$8.67|$30.99|$0.00|$8.67|1
2504|Wothington, Women's v-neck long sleeve sweater|1.00 EA|$38.00|$1.66|$39.66|2.5y/ Avg. /8y|-$12.40|$27.26|$0.00|$12.40|1
2505|A.N.A, Women's midi skirt|1.00 EA|$38.00|$1.66|$39.66|3 y/ Avg. /8 y|-$14.87|$24.79|$0.00|$14.87|1
2506|A.N.A, Embroidered midi skirt|1.00 EA|$38.00|$1.66|$39.66|3.75y/Avg./8y|-$18.59|$21.07|$0.00|$18.59|1
2507|Allegra K, Women's printed sweatshirt|1.00 EA|$37.79|$1.65|$39.44|1.75 y/ Avg. /8 y|-$8.63|$30.81|$0.00|$8.63|1
2508|Liz Claiborne, Sleeveless blouse|1.00 EA|$37.00|$1.62|$38.62|2.5y/ Avg. /8y|-$12.07|$26.55|$0.00|$12.07|1
2509|Worthington, Women's long sleeve button down shirt|1.00 EA|$37.00|$1.62|$38.62|3.5y/ Avg. /8 y|-$16.90|$21.72|$0.00|$16.90|1
2510|Chico's, Brisk floral tee|1.00 EA|$36.95|$1.62|$38.57|0.5y/ Avg./8y|-$2.41|$36.16|$0.00|$2.41|1
2511|Frye and co, Scarf|1.00 EA|$36.00|$1.58|$37.58|3.5y/ Avg. /8 y|-$16.44|$21.14|$0.00|$16.44|1
2512|Xersion, Super soft long sleeve sweatshirt|1.00 EA|$36.00|$1.58|$37.58|3.5y/ Avg. /8y|-$16.44|$21.14|$0.00|$16.44|1
2513|Stylus, Crew neck t-shirt|1.00 EA|$36.00|$1.58|$37.58|3 y/ Avg. /8 y|-$14.09|$23.49|$0.00|$14.09|1
2514|Levi's, Leather belt|3.00 EA|$108.00|$4.73|$112.73|1.5 y/ Avg. /8 y|-$21.14|$91.59|$0.00|$21.14|1
2515|Wild Fable, Quilted crossbody bag|1.00 EA|$35.00|$2.93|$37.93|3.5y/ Avg. /4y|-$30.34|$7.59|$0.00|$30.34|1
2516|Croft & Barrow, Stretch pull on pants|1.00 EA|$35.00|$1.53|$36.53|3.75y/Avg./8y|-$17.13|$19.40|$0.00|$17.13|1
2517|iDesign, Over the door towel rack|1.00 EA|$34.99|$2.93|$37.92|1y/Avg./10y|-$3.79|$34.13|$0.00|$3.79|1
2518|Sonoma goods, Button front cardigan|1.00 EA|$34.99|$1.53|$36.52|2y/Avg./8y|-$9.13|$27.39|$0.00|$9.13|1
2519|Croft & Barrow, Long sleeve cabled cardigan|1.00 EA|$34.99|$1.53|$36.52|3.25 y/ Avg. /8 y|-$14.83|$21.69|$0.00|$14.83|1
2520|Croft & Barrow, Women's pull on pants|1.00 EA|$34.99|$1.53|$36.52|3.5y/ Avg. /8y|-$15.98|$20.54|$0.00|$15.98|1
2521|Land's End, Women's cotton crew neck t-shirt|1.00 EA|$34.95|$1.53|$36.48|5y/Avg./8y|-$22.80|$13.68|$0.00|$22.80|1
2522|St. John's Bay, Crew neck cable- knit sweater|1.00 EA|$34.00|$1.49|$35.49|0.25y/ Avg. /8 y|-$1.11|$34.38|$0.00|$1.11|1
2523|Dressbarn, Women's printed blouse|1.00 EA|$34.00|$1.49|$35.49|0.5y/ Avg. /8y|-$2.22|$33.27|$0.00|$2.22|1
2524|Indigo, Fanny pack|1.00 EA|$34.00|$2.85|$36.85|1y/Avg./20y|-$1.84|$35.01|$0.00|$1.84|1
2525|St. John's Bay, Women's turleneck long sleeve cable knit pullover sweater|1.00 EA|$34.00|$1.49|$35.49|1.5 y/ Avg. /8 y|-$6.66|$28.83|$0.00|$6.66|1
2526|St. John's Bay, Cable-knit long sleeve pull over sweater|1.00 EA|$34.00|$1.49|$35.49|3.5y/Avg./8y|-$15.53|$19.96|$0.00|$15.53|1
2527|St. John Bay, Cable-knit sweater|3.00 EA|$102.00|$4.46|$106.46|2y/Avg./8y|-$26.62|$79.84|$0.00|$26.62|1
2528|Chaps, Women's classic fit shirt|1.00 EA|$32.99|$1.44|$34.43|2y/Avg./8y|-$8.61|$25.82|$0.00|$8.61|1
2529|Mercer Mettle, Women's crepe blouse|1.00 EA|$31.98|$1.40|$33.38|3 y/ Avg. /8 y|-$12.51|$20.87|$0.00|$12.51|1
2530|emaline, Floral print long sleeve blouse|1.00 EA|$30.00|$1.31|$31.31|0.75y/Avg./8y|-$2.93|$28.38|$0.00|$2.93|1
2531|J Buxton, Coin wallet|1.00 EA|$30.00|$2.51|$32.51|3 y/ Avg. /4 y|-$24.38|$8.13|$0.00|$24.38|1
2532|Karen Scott, Women's colorblocked sweatshirt|1.00 EA|$29.99|$1.31|$31.30|0.5y/Avg./8y|-$1.95|$29.35|$0.00|$1.95|1
2533|Disney, Mickey mouse women's sweatshirt|1.00 EA|$29.99|$1.31|$31.30|0.75y/ Avg. /8 y|-$2.93|$28.37|$0.00|$2.93|1
2534|Style & Co, Women's mid rise sweapants|1.00 EA|$29.99|$1.31|$31.30|0.75y/Avg./8y|-$2.93|$28.37|$0.00|$2.93|1
2535|Sonoma goods, Slide slit crewneck sweater|1.00 EA|$29.99|$1.31|$31.30|2.5y/ Avg. /8y|-$9.78|$21.52|$0.00|$9.78|1
2536|Karen Scott, Women's trim mock neck cable knit sweater|1.00 EA|$29.99|$1.31|$31.30|2y/Avg./8y|-$7.83|$23.47|$0.00|$7.83|1
2537|Sonoma goods, Button front cardigan|1.00 EA|$29.99|$1.31|$31.30|2y/Avg./8y|-$7.83|$23.47|$0.00|$7.83|1
2538|Croft & Barrow, Classic tibbed open front cardigan|1.00 EA|$29.99|$1.31|$31.30|3 y/ Avg. /8 y|-$11.74|$19.56|$0.00|$11.74|1
2539|Croft & Barrow, Soft cardigan|1.00 EA|$29.99|$1.31|$31.30|3 y/ Avg. /8 y|-$11.74|$19.56|$0.00|$11.74|1
2540|Croft & Barrow, Pull over sweater|||||||DUPLICATE|$0.00|$0.00|1
2541|Croft & Barrow, Soft cabled crew neck sweater|1.00 EA|$29.99|$1.31|$31.30|3.5y/ Avg. /8y|-$13.69|$17.61|$0.00|$13.69|1
2542|Croft & Barrow, Cabled sweater|1.00 EA|$29.99|$1.31|$31.30|3.75y/ Avg. /8 y|-$14.67|$16.63|$0.00|$14.67|1
2543|Croft & Barrow, Soft cabled sweater|1.00 EA|$29.99|$1.31|$31.30|3.75y/ Avg. /8 y|-$14.67|$16.63|$0.00|$14.67|1
2544|Style & Co, Women's hi-rise leggigns|10.00 EA|$299.90|$13.12|$313.02|3.5y/ Avg. /8y|-$136.95|$176.07|$0.00|$136.95|1
2545|Land's End, Women's mockneck top|1.00 EA|$29.95|$1.31|$31.26|4.5y/ Avg. /8y|-$17.59|$13.67|$0.00|$17.59|1
2546|Style & Co, Women's printed scoop- neck top|1.00 EA|$29.50|$1.29|$30.79|0.5y/ Avg./8y|-$1.92|$28.87|$0.00|$1.92|1
2547|Anne Klein, Printed sleeveless top|1.00 EA|$28.99|$1.27|$30.26|4y/Avg./8y|-$15.14|$15.12|$0.00|$15.14|1
2548|Lucky Brand, Women's cable cardigan|1.00 EA|$28.92|$1.27|$30.19|3y/Avg./8y|-$11.33|$18.86|$0.00|$11.33|1
2549|Kelly More, Mineral therapy comfort live sensitive cream 1.6oz|1.00 EA|$28.00|$2.35|$30.35|0.5 y/ Avg. /10 y|-$1.52|$28.83|$0.00|$1.52|1
2550|Cable & Gauge, Women's neck long sleeve top|1.00 EA|$28.00|$1.23|$29.23|0.5y/ Avg./8y|-$1.83|$27.40|$0.00|$1.83|1
2551|Cable & Gauge, Women's neck long sleeve top|1.00 EA|$28.00|$1.23|$29.23|0.75y/Avg./8y|-$2.75|$26.48|$0.00|$2.75|1
2552|Xersion, Women's graphic tee|1.00 EA|$28.00|$1.23|$29.23|3 y/ Avg. /8 y|-$10.96|$18.27|$0.00|$10.96|1
2553|Cable & Gauge, Women's pocket tee|1.00 EA|$27.99|$1.22|$29.21|0.25y/ Avg. /8 y|-$0.91|$28.30|$0.00|$0.91|1
2554|Croft & Barrow, Tailored print button down shirt|1.00 EA|$27.99|$1.22|$29.21|3 y/ Avg. /8 y|-$10.96|$18.25|$0.00|$10.96|1
2555|Croft & Barrow, Women's button front top|1.00 EA|$27.99|$1.22|$29.21|3.25y/Avg./8y|-$11.87|$17.34|$0.00|$11.87|1
2556|Croft & Barrow, Women's nap button blouse|1.00 EA|$27.99|$1.22|$29.21|3.5y/ Avg. /8y|-$12.78|$16.43|$0.00|$12.78|1
2557|Ubic, Vacuum flask|1.00 EA|$27.95|$2.34|$30.29|4y/Avg./20y|-$6.06|$24.23|$0.00|$6.06|1
2558|A.N.A, Sleeveless t-shit|1.00 EA|$27.00|$1.18|$28.18|1.5 y/ Avg. /8 y|-$5.28|$22.90|$0.00|$5.28|1
2559|Xersion, Women's long sleeve t shirt|1.00 EA|$27.00|$1.18|$28.18|2.5y/ Avg. /8y|-$8.81|$19.37|$0.00|$8.81|1
2560|Allegra K, Chiffon long sleeve blouse|1.00 EA|$26.99|$1.18|$28.17|1.5 y/ Avg. /8 y|-$5.28|$22.89|$0.00|$5.28|1
2561|Fitrell, Compression socks 3pair|1.00 EA|$26.99|$1.18|$28.17|2y/Avg./3y|-$18.78|$9.39|$0.00|$18.78|1
2562|Dana Buchman, Women't pull over sweater|1.00 EA|$26.99|$1.18|$28.17|3.75y/ Avg. /8 y|-$13.20|$14.97|$0.00|$13.20|1
2563|Gold toe, Women's ankle socks 10pk|1.00 EA|$26.00|$1.14|$27.14|2.75y/Avg./3y|-$21.71|$5.43|$0.00|$21.71|1
2564|Monet, Gold-tone crystal pin|3.00 EA|$78.00|$6.53|$84.53|0.5 y/ Avg./20 y|-$2.11|$82.42|$0.00|$2.11|1
2565|Uniquenly, Kids chair figure photo frame|1.00 EA|$25.99|$2.18|$28.17|5 y/ Avg. /10 y|-$14.09|$14.08|$0.00|$14.09|1
2566|CVS Health, Omepraole capsule 42ct|2.00 EA|$50.98|$0.00|$50.98|3.5y/ Avg. /3 y|-$40.78|$10.20|$0.00|$40.78|1
2567|Universal thread, Pull over sweater|1.00 EA|$25.00|$1.09|$26.09|0.5y/ Avg./8y|-$1.63|$24.46|$0.00|$1.63|1
2568|Forever 21, Embroidered top|1.00 EA|$25.00|$1.09|$26.09|2.5y/ Avg. /8y|-$8.15|$17.94|$0.00|$8.15|1
2569|Xersion, V-neck t-shirt|1.00 EA|$25.00|$1.09|$26.09|2y/Avg./8y|-$6.52|$19.57|$0.00|$6.52|1
2570|Adidas, Long sleeve tee|1.00 EA|$25.00|$1.09|$26.09|3y/Avg./8y|-$9.79|$16.30|$0.00|$9.79|1
2571|Blair, Bucket hat|3.00 EA|$75.00|$3.28|$78.28|4.25y/ Avg. /8 y|-$41.58|$36.70|$0.00|$41.58|1
2572|Esteen Lauder, Cosmetic bag|1.00 EA|$24.99|$1.09|$26.08|1.5 y/ Avg. /8 y|-$4.89|$21.19|$0.00|$4.89|1
2573|Sonoma Goods, Rib v-neck sweater|1.00 EA|$24.99|$1.09|$26.08|1.5 y/ Avg. /8 y|-$4.89|$21.19|$0.00|$4.89|1
2574|Croft & Barrow, Women's stripe button down shirt|1.00 EA|$24.99|$1.09|$26.08|3.75y/ Avg. /8 y|-$12.22|$13.86|$0.00|$12.22|1
2575|Croft & Barrow, Long-sleeve crewneck tee|1.00 EA|$24.99|$1.09|$26.08|4.5y/ Avg. /8y|-$14.67|$11.41|$0.00|$14.67|1
2576|Gap, Baseball hat|1.00 EA|$24.99|$1.09|$26.08|5y/Avg./8y|-$16.30|$9.78|$0.00|$16.30|1
2577|Arizona, Graphic tee|1.00 EA|$24.00|$1.05|$25.05|3.25y/Avg./8y|-$10.18|$14.87|$0.00|$10.18|1
2578|Gap, Leather belt|1.00 EA|$24.00|$1.05|$25.05|4.5y/ Avg. /8y|-$14.09|$10.96|$0.00|$14.09|1
2579|Croft & Barrow, Printed boatneck top|||||||DUPLICATE|$0.00|$0.00|1
2580|Croft & Barrow, Printed boatneck top 2,581 Croft & Barrow, Printed boatneck|1.00 EA|$24.00|$1.05|$25.05|4.25y/ Avg. /8 y|-$13.31|$11.74|$0.00|$13.31|1
2582|Ambiance Apparel, Everyday caridgan|1.00 EA|$23.95|$1.05|$25.00|0.25y/ Avg. /8 y|-$0.78|$24.22|$0.00|$0.78|1
2583|Vetsource, Enalapril 20mg, 100ct|4.00 EA|$94.36|$7.90|$102.26|2y/Avg./5y|-$40.90|$61.36|$0.00|$40.90|1
2584|Poise, Pads 45ct|2.00 EA|$45.84|$3.84|$49.68|3 y/ Avg. / o y|-$0.00|$49.68|$0.00|$0.00|1
2585|Rifle Paper, Porcelain mug|1.00 EA|$22.00|$1.84|$23.84|1 y/ Avg. /20 y|-$1.19|$22.65|$0.00|$1.19|1
2586|Equity, Alarm clock|1.00 EA|$21.99|$1.84|$23.83|5 y/ Avg. /10 y|-$11.92|$11.91|$0.00|$11.92|1
2587|Blair, Women's print knit top|1.00 EA|$21.99|$0.96|$22.95|4.75y/Avg./8y|-$13.63|$9.32|$0.00|$13.63|1
2588|Liz Claiborne, Crew neck t-shirt|1.00 EA|$21.00|$0.92|$21.92|2y/Avg./8y|-$5.48|$16.44|$0.00|$5.48|1
2589|St. John's Bay, Women's polo shirt|1.00 EA|$20.00|$0.88|$20.88|1.25 y/ Avg. /8 y|-$3.27|$17.61|$0.00|$3.27|1
2590|St. John's Bay, Women's polo shirt|1.00 EA|$20.00|$0.88|$20.88|2.25y/Avg./8y|-$5.88|$15.00|$0.00|$5.88|1
2591|John's Bay, Women's polo shirt|1.00 EA|$20.00|$0.88|$20.88|2.5y/Avg./8y|-$6.53|$14.35|$0.00|$6.53|1
2592|St. John's Bay, Women's short sleeve polo shirt|1.00 EA|$20.00|$0.88|$20.88|2.5y/ Avg. /8y|-$6.53|$14.35|$0.00|$6.53|1
2593|Sonoma Goods, Baseball hat|3.00 EA|$60.00|$2.63|$62.63|2.5y/ Avg. /8y|-$19.57|$43.06|$0.00|$19.57|1
2594|Charter club, Women's petite pima cotton print blouse|1.00 EA|$19.99|$0.87|$20.86|2.25y/ Avg. /8 y|-$5.86|$15.00|$0.00|$5.86|1
2595|Style & Co, Women's v-neck t-shirt|1.00 EA|$19.99|$0.87|$20.86|3 y/ Avg. /8 y|-$7.83|$13.03|$0.00|$7.83|1
2596|HDE, Women's stripe pants|1.00 EA|$19.99|$0.87|$20.86|4y/Avg./8y|-$10.44|$10.42|$0.00|$10.44|1
2597|Dixie, Paper plate 125ct|4.00 EA|$79.96|$6.70|$86.66|0 y/ Avg. / o y|-$0.00|$86.66|$0.00|$0.00|1
2598|Aerie, Small crossbody bag|1.00 EA|$19.97|$1.67|$21.64|1y/Avg./4y|-$5.41|$16.23|$0.00|$5.41|1
2599|Felina, Jersey t-shirt|1.00 EA|$19.95|$0.87|$20.82|2.5y/ Avg. /8y|-$6.50|$14.32|$0.00|$6.50|1
2600|A.N.A, Women's crew neck long sleeve t-shirt|1.00 EA|$18.00|$0.79|$18.79|1.25 y/ Avg. /8 y|-$2.93|$15.86|$0.00|$2.93|1
2601|St. John's Bay, Women's crew neck long sleeve t-shirt|1.00 EA|$18.00|$0.79|$18.79|2.25y/ Avg. /8 y|-$5.28|$13.51|$0.00|$5.28|1
2602|St. John Bay, Women's crew neck t- shirt|1.00 EA|$18.00|$0.79|$18.79|3.5y/ Avg. /8y|-$8.23|$10.56|$0.00|$8.23|1
2603|2,603 Jachs, Women's floral print chino shorts|1.00 EA|$16.99|$0.74|$17.73|4y/Avg./8y|-$8.87|$8.86|$0.00|$8.87|1
2604|Tiger Balm, Ultra strenght oiltment|1.00 EA|$15.89|$0.00|$15.89|2y/Avg./3y|-$10.59|$5.30|$0.00|$10.59|1
2605|Huoiqiue, Golden piggy bank|1.00 EA|$15.50|$1.30|$16.80|0.5y/ Avg./2y|-$4.21|$12.59|$0.00|$4.21|1
2606|Kelly More, Mineral therapy comfort live oxygen repair, 1.01fl oz|1.00 EA|$15.00|$1.26|$16.26|5y/Avg./3y|-$13.01|$3.25|$0.00|$13.01|1
2607|Old Navy, Crew-neck t-shirt|1.00 EA|$14.99|$0.66|$15.65|1y/Avg./8y|-$1.95|$13.70|$0.00|$1.95|1
2608|Croft & Barrow, Long sleeve crewneck tee|||||||DUPLICATE|$0.00|$0.00|1
2609|Croft & Barrow, Long sleeve tee|1.00 EA|$14.99|$0.66|$15.65|2.25y/ Avg. /8 y|-$4.41|$11.24|$0.00|$4.41|1
2610|Croft & Barrow, Long sleeve tee|1.00 EA|$14.99|$0.66|$15.65|2.5y/ Avg. /8y|-$4.89|$10.76|$0.00|$4.89|1
2611|Croft & Barrow, Long sleeve crewneck tee|||||||DUPLICATE|$0.00|$0.00|1
2612|Croft & Barrow, Long-sleeve tee|1.00 EA|$14.99|$0.66|$15.65|4.25y/Avg./8y|-$8.31|$7.34|$0.00|$8.31|120
2613|Croft & Barrow, Women's essential tee|1.00 EA|$14.99|$0.66|$15.65|4.5y/ Avg. /8y|-$8.80|$6.85|$0.00|$8.80|120
2614|St. John's Bay, Women's t-shirt|1.00 EA|$14.00|$0.61|$14.61|1y/Avg./8y|-$1.83|$12.78|$0.00|$1.83|120
2615|St. John's Bay, Women's crew neck t-shirt|1.00 EA|$14.00|$0.61|$14.61|2.25y/ Avg. /8 y|-$4.11|$10.50|$0.00|$4.11|120
2616|Triumph, Women's panty|10.00 EA|$140.00|$6.13|$146.13|3 y/ Avg. / y|-$116.90|$29.23|$0.00|$116.90|120
2617|Old Navy, V-Neck t-shirt|1.00 EA|$12.99|$0.57|$13.56|0.5y/ Avg. /8 y|-$0.85|$12.71|$0.00|$0.85|120
2618|Sonoma Goods, Women's long sleeve printed tee|1.00 EA|$12.99|$0.57|$13.56|1y/Avg./8y|-$1.69|$11.87|$0.00|$1.69|120
2619|Croft & Barrow, Women's essential tee|1.00 EA|$12.99|$0.57|$13.56|2.5y/ Avg. /8y|-$4.24|$9.32|$0.00|$4.24|120
2620|Philips, Outlet surge protector|1.00 EA|$12.79|$1.07|$13.86|2.5 y/ Avg. /10 y|-$3.47|$10.39|$0.00|$3.47|120
2621|Kohl's, Microfiber liner socks 3 pairs|2.00 EA|$24.00|$1.05|$25.05|2.5y/ Avg. /3y|-$20.04|$5.01|$0.00|$20.04|120
2622|Hanes, Crew socks 8pk|4.00 EA|$48.00|$2.10|$50.10|3.5y/Avg./3y|-$40.08|$10.02|$0.00|$40.08|120
2623|Croft & Barrow, Women's crew neck t-shirt|1.00 EA|$11.99|$0.52|$12.51|2.25y/Avg./8y|-$3.52|$8.99|$0.00|$3.52|120
2624|Bershire, Women's sheer pantyhose|5.00 EA|$59.75|$2.61|$62.36|4.5y/ Avg. /3y|-$49.89|$12.47|$0.00|$49.89|120
2625|Zentoes, Silicone toe retractor|1.00 EA|$10.99|$0.92|$11.91|4.5 y/ Avg. /10 y|-$5.36|$6.55|$0.00|$5.36|120
2626|Dr. Motion, Compression socks|1.00 EA|$10.00|$0.44|$10.44|0.25y/ Avg. /3 y|-$0.87|$9.57|$0.00|$0.87|120
2627|Mohawk, Utility door mat 1/6 2'6|1.00 EA|$10.00|$0.84|$10.84|5 y/ Avg. /10 y|-$5.42|$5.42|$0.00|$5.42|120
2628|Fruit of the loom, Ladies t-shirt|1.00 EA|$9.99|$0.44|$10.43|3 y/ Avg. /8 y|-$3.92|$6.51|$0.00|$3.92|120
2629|H & M, Sweatpants|3.00 EA|$29.97|$1.31|$31.28|3.5y/ Avg. /8y|-$13.68|$17.60|$0.00|$13.68|120
2630|Amazon Basic, Wire earbunds|1.00 EA|$8.99|$0.75|$9.74|3 y/ Avg. /10 y|-$2.93|$6.81|$0.00|$2.93|120
2631|Master Lock, 3- Digit combination padlock|1.00 EA|$8.48|$0.71|$9.19|3 y/ Avg. /20 y|-$1.38|$7.81|$0.00|$1.38|120
2632|Felina, Sleeveless t-shit|1.00 EA|$8.00|$0.35|$8.35|2y/Avg./8y|-$2.09|$6.26|$0.00|$2.09|120
2633|Light in the box, Chinese folding fan|2.00 EA|$15.98|$1.34|$17.32|2.5 y/ Avg. /10 y|-$4.34|$12.98|$0.00|$4.34|120
2634|Band-Aid, Flexible fabric adhesive bandage 30ct|1.00 EA|$6.99|$0.00|$6.99|4.5 y/ Avg. /10 y|-$3.15|$3.84|$0.00|$3.15|120
2635|Curad, Flex fabric bandage, 100ct|1.00 EA|$5.98|$0.00|$5.98|3 y/ Avg. /10 y|-$1.79|$4.19|$0.00|$1.79|120
2636|Sanxiner, Coin purse|1.00 EA|$5.90|$0.49|$6.39|5y/Avg./4y|-$5.11|$1.28|$0.00|$5.11|120
2637|CVS Health, Pantiliners 106ct|1.00 EA|$5.49|$0.46|$5.95|3.25y/Avg./0y|-$0.00|$5.95|$0.00|$0.00|120
2638|Rubbermaid, Toilet brush|2.00 EA|$9.98|$0.84|$10.82|1.5y/ Avg./10y|-$1.63|$9.19|$0.00|$1.63|120
2639|Terra, Sweet potato chips/ sea salt|1.00 EA|$4.49|$0.00|$4.49|1y/Avg./0y|-$0.00|$4.49|$0.00|$0.00|121
2640|Kirkland Signature, Paper towel roll|1.00 EA|$3.99|$0.33|$4.32|2y/Avg./0y|-$0.00|$4.32|$0.00|$0.00|121
2641|Hopkins, Cellulose sponge|1.00 EA|$3.98|$0.33|$4.31|5 y/ Avg. /10 y|-$2.16|$2.15|$0.00|$2.16|121
2642|Scoth, Magic tape|1.00 EA|$3.39|$0.28|$3.67|1y/Avg./10y|-$0.37|$3.30|$0.00|$0.37|121
2643|Gildan, T-shirt|1.00 EA|$3.25|$0.14|$3.39|3 y/ Avg. /8 y|-$1.27|$2.12|$0.00|$1.27|121
2644|Spritz, Happy new year glasses|1.00 EA|$3.00|$0.25|$3.25|3 y/ Avg. /10 y|-$0.98|$2.27|$0.00|$0.98|121
2645|Kleenex, Facial tissue 100ct|1.00 EA|$2.99|$0.25|$3.24|2.5y/ Avg./0y|-$0.00|$3.24|$0.00|$0.00|121
